空间评论,空间评分,动力评论,动力评分,操控评论,操控评分,能耗评论,能耗评分,舒适性评论,舒适性评分,外观评论,外观评分,内饰评论,内饰评分,性价比评论,性价比评分
我的是标轴版！后面选了三座！空间非常满意滴后备厢容积：后备厢拿掉充电器包，就宽敞点啦！深度一般，这种车也只能这样了，不是旅行版！保时捷自我感觉他不考虑这些问题的车内储物能力：关于车内的存储那真的没啥可说的，自己tb买点来装饰下吧！家人乘坐评价：选了后排三座，女儿就喜欢坐中间！后排两座感觉太浪费啦,5,330马力，全时四驱！实测4.4破百！大爱跑高速：高速那就是一匹脱缰的野马！够狂够浪！大尾翼帅到没朋友,5,牛逼到打那是那方向盘操控感：毫无虚位，精准到你敢想象！就喜欢他的超控性四驱稳定性：年后在陕西进湖北高速上道具结冰！实在话20寸轮毂加四驱真的稳！我前面的车都不敢跑！前年开的宝马遇到结冰踩刹车直接摆尾！吓死宝宝了！老婆也吓个半死！所以今天帕拉梅拉直接爸踩没问题！这就是论四驱的重要性！本人亲测，真实有效！,5,% buffered00:00/00:10倍速高清实际电池49公里，高速5.9 市区都是用电多，很少开市区充电：充电4小时满，在杭州1.6元的充电器下，16块充满49㎞可以跑！！！,5,爱保时捷不是爱他的舒适性，而是狂野，但是这款四门轿跑实现了超控和舒适性都很好！车内噪音：隔音效果真心不错！这是不是个好事，有时候被轻擦了也不知道空调：牛逼到不行的空调设计中控处就是家里空调出风口设计！选了四区独立空调！都是钱钱钱！入坑不浅悬架减震舒适性：听说S500过减速带就像坐沙发，没试过，但是帕拉梅拉没有那样的感觉，个人绝得还不错座椅舒适性：驾驶位太空椅的感觉两边环抱回来，舒适性比较强，选了座椅加热，没选座椅通风，冬天真心不错,5,两个字太帅！大肥臀真的美到不可言喻，加上保时捷矩形动态大灯，青蛙车头，18款改的真的太漂亮了！市区尾翼开起来真的回头率太高！！！！！车灯设计：选了30000多的保时捷矩形动态大灯！真不是吹牛皮动态大灯安全系数提高了很多！转向灯打那动态大灯照哪儿车身及车轮：青蛙脸！肥美臀！20寸轮毂，真的没话说，停在哪儿都是一道靓丽的风景线！路人都要回头看看！嘴里念叨到保时捷还有电动车了！哈哈哈！！！！钣金车漆：被划伤了好几个地方，真心心疼啊！抛光抛了下！师傅说保时捷漆太硬了！！！！！！！灯光配置：保时捷矩形动态大灯上面有说过。真的买保时捷必选动态大灯,4,选了67000波尔多红就是爱他的骚气，选择骚红内饰是有目的的，拍照真的超有质感啦！！！！！多媒体：柏林之声十几万太贵了果断放弃，选了boes环绕音响！！对于我来说很不错了！喜欢车里听歌的可以选柏林之声音响那效果就更帅了！！！！内饰材质：中控12寸大屏爱死了，特别是新款的触摸屏，真的是指纹收集器！贴了膜还一样的一点灰看起来就特别脏，还好配了一块膜！特有科技感的设计！触动感很灵活！！！内饰设计风格：钢琴烤漆太容易刮花， TB上买个膜贴起来就好多了，中控真的太有科技感！！！,5,品牌在这里！保时捷没啥性价比一车一配置！选配真的无深无浅！但是个人建议选点实用的,5
买pa一定买标轴，正常都都几辆车换，帕一定是买来自己开着舒服，空间没必要纠结,4,不错，4秒左右。听说刷ecu能到600p,5,轿车里算很不错的，跟跑车肯定没法比，混动车轻些就完美了,5,开的还少，能耗肯定比普通版优势很大，一定要有充电桩才能发挥最大优势,5,舒适性还不错，悬挂很有韧性，用20寸轮胎时其实不比老一代的d级车差。换21后差别挺明显的，硬很多，路感差挺多的。,4,普通版选4出、21轮后外观95分，再改三段尾翼、turbo前脸后完美，100分。,5,内饰85，前几年看95，现在其他品牌的内饰设计也慢慢跟上了。,5,性价比一般，都起码20万以上的选装，但是让人觉得物有所值得。,4
空间只能说够用，后排经常坐人可以选择加长版本。需要空间有更好的车型选择,3,动力超越大部分车绝对足够用了，刹车略有钝挫感之外都比较满意,4,打方向盘的时车头给人比较沉的感觉，底盘比较稳健，操控的时候比较精准不发飘,4,需要每天充电才能省油，内燃机平时也能充电，市区用电开，不拥堵路段用油开。,4,座椅偏硬，舒适性可以选择奔驰s，7系之类更成熟稳重的车,4,比较适合年轻有为的人群，年轻时尚偏运动风,5,内饰一定要选择红色，档次比黑色好太多了。,4,对比了美国的价格，标轴混动的价格应该是性价比最高的一款,5
混动版后备箱由于电池的缘故少了100升，客舱内储物格也比较少，好在后排可以4/6放倒应急,4,2.3吨5米2的长车百公里加速能到4秒多很够了。车涯上有人跑到3秒8，可见潜力十足。,5,选配后桥转向后转弯半径比之前开的E还要小一点，车道调头一把过。高速上120巡航也十分稳定，感觉和E开80差不多。,5,看图说话不解释，太香了。用油充电大概高速12市区15，想想462匹的动力也值了。,5,虽然悬挂相对会比较硬，但是过坑过减速带干脆利落，很有信心，喜欢这种感觉。隔音完全符合D级车水平，如果选配隔音玻璃会更加棒。,5,大型四门掀背为什么帕梅变成街车，不需要理由。,5,为了避税没选全真皮内饰，部分真皮内饰的质感对我来说也足够使用，打算开个几年再改内饰。保时捷从这代帕梅开始的内饰设计相当成功，而且我更喜欢这一代的仪表盘布局和方向盘以及SC旋钮造型，中期改款要换成992同款方向盘还稍微有点遗憾。车机的性能如前文所说有点没跟上潮流，希望后期能有改装方案。,4,相比燃油版标配的配置就值回差价，只有十周年可以一战，可惜国内没有混动十周年版不然肯定选了。出于实用目的选配了：HUD、后桥转向、带交通拥塞辅助的ACC，盲区辅助，矩阵大灯，BOSE音响，总共18万左右。车道保持有了矩阵大灯可以刷，又省了点选配钱。,5
前排空间一流，后排由于平时没人坐，选的标轴，所以只能说够用，真和行政级别车型对比就太局促了。开篇入个镜中间电磁炉操作台很宽,4,目前三千公里，没有尝试鸡血模式。但这台双涡轮2.9的发动机带这台2.5吨的大车，表现已经很优秀了，可以说s档模式怎么踩怎么有。纯电模式表现稍弱，且满电只能跑四十公里左右。混动模式动力日常使用动力完全够了，且油耗很友好。满电状态显示四十公里续航四个模式可供选择，可通过sc组件和中控面板选择,5,精准，指哪儿打哪儿，打方向盘力度刚合适，底盘很扎实，动力源源不断输出，综合起来，高速驾驶很有信心，非常容易超速。需要注意??这台发动机，爱了！,5,纯电模式续航里程有限，一般混动模式，综合油耗9个左右。s档油耗综合17个左右。s+没怎么试过。估计过20,5,电动、混动模式的悬挂舒适性还行，s模式悬挂自动切换为运动模式，偏硬。不适合长途驾驶悬挂有三个高度档位，可通过中控台选择。选择后前轮先升降，后轮再升降。S+模式悬挂默认为降低。,4,外观就不多说了，这应该是这代帕拉梅拉卖得好的最主要原因。这个角度是不是很像甲壳虫？邻居的刚好是老款，个人觉得屁股太过于饱满圆润，显得油腻。老款的屁股配上一体式尾翼，加上贯穿式尾灯。爱了！,5,这个级别的车内饰应该是没什么可说的了，应该是这个级别里挺出色的车型了。个人觉得比起上代一排排满满的按钮，这代的电磁炉触控板好看了很多这是第一台玛莎拉红内的方向盘，配上我的小万国还算协调。夜晚的内饰还算中规中矩，氛围灯比起奔驰宝马奥迪的夜店模式，简直弱爆了。哈哈,5,怎么说呢，对于我来说性价比还算不错，只是选配件价格有点坑了点。我这么理性的消费者都轻轻松松选配出了一台奥迪A4....我太难了！??这个银光绿的大卡钳，我的最爱！小尾翼是否实用大多数人都不知道，主要是骚气。,4
% buffered00:00/00:11倍速高清空间的话 后备箱很大 后座空间小了点 不过还可以 对空间有要求的可以买加长版,4,弹射起步 SC套件 20秒真男人 S+一开 这动力不言而喻,5,保时捷操控真的没得挑,5,毕竟新能源汽车 有充电位 天天充电 省油的很,4,这车都是自己开 谁注重舒适性,4,奔驰新出的AMG GT53 没这个好看,5,整体挺好,4,性价比极高,5
179高，前后正常位置都很舒服，不能和S比，但是绝对够，宽是够宽了带钥匙记忆，能锁定包括不限于灯光，座椅，方向盘位置！后排两座，可选三座，意义不大，还是两座合适！,4,有电多100多匹马力，不是盖的，20秒真男人模式下去，炒鸡爽,5,PDK非常牛，特别是保时捷的换挡拨片，逻辑非常好，自己会切换到自定，需要手动速度非常灵敏！自己体会,5,有电零油耗，无电自动模式能到7.6左右油耗，因为逻辑是滑行和低于10km速度发动机均停止运行！,5,有空气悬挂，三段高中低，加上前275后315的胎，非常舒服！,5,满分，真心这一代算是巅峰！比上一代不知道好到哪去了！基本颜值无死角！记得选上SD包围，完美！,3,没选红内，十个新帕9个红！算咯,5,选配太多，大多价格蛮坑，每一样都觉得还好，多选几个简直遭不住！选装配置：3.3的矩阵大灯一定选，可以刷出车道保持非常好用！开高速超级亮！音响bose，氛围灯，红色安全带、碳纤维方向盘、轮毂，SD包围，亮黑饰条，天窗，空调等等,4
现在完全当作两座车来使用，后排根本不能做人,3,这个价位来说还不错了，响应速度快，先电然后油介入,4,暴力驾驶感觉很踏实，日常代步比较不舒服，变速箱换挡顿挫,3,还好吧，暴力驾驶20L左右、买来从来没充过电，上下班代步大概16L,5,本身也不是什么舒适车款，座椅很硬，时间长了腰疼,3,好看，后半部分尤为好看，建议选择浅颜色，线条更突出,5,内饰选了 玛莎拉红。最好。但灰色内饰更好看,5,这个价位就没什么性价比可言了，喜欢就买了试试。,4
买这车也不是冲着乘坐舒适和储物空间大，基本够用,4,提速还是满意的，比较现在的道路开不快，油门深踩还是蛮给力的,5,高速变道还是很自信的，转向还是很清晰，路感也很清晰,5,因为是混动所以能耗是根据你有没有经常充电，可以5油耗，也可以是20油耗,5,基本都是我开，开车的人短程还是蛮舒适的，坐车的应该一般，座椅偏硬，隔音还可以,4,外观是这个车最让人有购买欲望的地方，这代改的很不错，比上一代更像一辆跑车,5,内饰因为选装了全真皮感觉确实可以的蛮细腻，但是控制台到处都能留指纹,5,选配太贵了，看什么都想选，想想钱，最后只能放弃了一些，最终选了40万的配置还是蛮心痛的,3
本人180 调整到舒适位置后 后排也有充足空间 储物空间一般 顶多两个25寸箱子吧,4,动力很强 加上电机加持 比一般的4要强悍,5,操控就不说了保时捷,5,感觉比较吃油 不充电的话 油耗很高 1000公里加两次了,3,一般,4,完美,5,完美,5,巨高,5
行政版的空间还是比较理想的！,4,没的说，各种模式可以互换开，超车没问题，还有声浪！,5,指哪打哪，还可以！,5,可以提升纯电续航就好了，在市区纯油模式下9-13个油,4,舒适性自然比不了奔驰了，不过也能接受，还是不错的！,4,外观没的说，萝卜白菜各有所爱，喜欢大青蛙没理由，**利器！,5,内饰我觉得可以给满分，是真的好看。,5,当然比跑车性价比高啦，4座，可以接送孩子，上下班，买菜，日常生活都还ok！,4
吐槽下，手机真的没有地方摆，连个carplay还特意买了根15cm的数据线、不然扶手箱都放不下。乘坐空间：173坐前面很舒服，后排有点拥挤，不过平时也就女儿坐。不过开时间久了座椅有点硬不舒服，现车没选到按摩座椅。,3,随叫随到，昨天试了下s+，一脚油门脖子差点给我甩掉,5,满分??，高速不知不觉就170，随便怎么变道超车都没有那种飘飘的感觉，可能跟地盘自动降低有关。,5,每次启动都是e模式，经常忘了换，不过有孩子在车上这样开也没什么不好。就一次在高速上电用完后切发动机有个顿挫，挺不舒服，平时切换倒没什么感觉。,5,空调还挺给劲，座椅通风夏天感觉挺强烈，秋天一般般。坐久了不舒服，脖子也靠不到头枕。弄完了定位准了,3,外观满分，一直中意旅行车，当时考虑的rs4，因为没办法选择座椅通风就放弃了，选择了这款。卡钳挺大，看着很漂亮接孩子时随便拍的最爱的就是这个尾灯，夜间辨识度超高,5,选配了黑红内饰，当时看车的时候我妈坐进去一看就说这内饰看起来就比bba高级，我只能告诉她不选真皮内饰都一样。去黄山路上试了下sc，当手机支架没毛病贴了膜还这么脏就这个门，被翼子板磕掉一块,5,买这个车就不谈性价比了，要性价比肯定选rs4啊,4
内部空间能满足平时乘用，后排腿部空间满意，唯一缺点：储物空间太少，除了前后中央扶手箱有四个杯座。,5,60公里/小时以下动力表现一般，超过这个速度才是真正展现保时捷爱家本领-PDK变速箱的强大,5,整体操控10分，底盘扎实，方向盘指向精准，过弯很有自信,5,纯油模式百公里12个油左右，混动模式油耗5-6之间，如果每天充电，在城区内几乎可以纯电驱动，绿色环保,4,四星半，21寸轮毂稍硬，跑车调校底盘适合在平整路面行驶,4,外形全五星，同价位车型里第一，保时捷最完美的轿跑型房车,5,内饰五星，同价位车型里无对手，对得起百万级别车,5,同价位里无二的选择，外形酷动力和底盘对得起这个价位该有的表现，选配的21寸轮毂舒适性稍差，胎噪和路面过滤相比同级别其他车型稍逊色，PDK变速箱在速度大于60公里/小时才是真正体现保时捷工程师对这辆车的完美调校，整体评价：值得入手。,4
空间宽敞，行政版，后面屏幕可以控制副驾驶座椅，行政用车，但是是4座有点尴尬，偶尔挤个人还要考虑交警叔叔会不会逮到！,4,% buffered00:00/00:05倍速高清动力要分两个，首先是纯电模式，日常通勤的主要模式，配合充电桩，超级经济实惠，动力马马虎虎，关键是踩深了直接发动机介入，也不知道它纯电到底有多快！然后是性能模式，sport plus，弹射，自己有911，自然吸气的，没有这个涡轮增压加电机助力来得猛烈，最大G值1.13，911好像只有0.9左右吧，弹射初期很猛，中后期就比较平凡了！,5,操控方面，方向盘转向不虚，动力强，但是毕竟身体长转向倒车的时候感觉到是行政车，其他时候感觉不出来！对比卡宴这操控秒杀卡宴，对比911的话直线0-100加速可能差不多，100以后可能911快一些，但是高速转弯或者变道什么的还是911强一点！,4,充电省油，sport plus用油也是厉害的！4S免费充电！要密码，滨江密码1000油耗电耗,3,挺好的，安静，轮毂19寸，舒适性增加,5,外观漂亮，尾翼亮点，尾翼开关用屏幕控制，大灯也漂亮，车身比例协调，轮毂没选好的，看上去差了点钱，接下来标配20了，而且能选抬头显示了！更新好快四眼灯尾翼翘起尾翼,5,选了真皮，细腻，有氛围灯，配置高，挺好！本来买了后座娱乐系统的平板16500，但是说没有选预留系统无法安装无法激活，只能放弃！改成贴膜加行车记录仪加彩标！中控漂亮大屏幕亮点,5,相比起来性价比高，油混行政赠送的东西多！sport chorn，全景天窗，后座空调都是赠送的！期待选装柏林和后座娱乐，这两大件很强！,4
乘坐空间不错，为了带父母妻子自驾游坐着宽敞，特意要的行政加长，标准轴距的伸不开腿（我母亲和未婚妻个子高腿长！实话！），储物空间少了点儿，想吐槽的是没有放眼镜的地方，后备箱小点儿,5,动力必须满分！,5,操控感很好，高速劈弯表现很棒，转向角很大很灵活一点都不像大型车，感觉就像开着辆紧凑型车，但狭窄路段就会发现它还是大型车，太长太宽小的地方进不去出不来。,5,油耗很惊喜，混动着跑百公里11升，纯电动能跑50公里上下班一滴油不烧，运动 模式百公里30升油，偶尔疯狂一下,5,悬架选择舒适性的时候坐着比较舒服，运动型的时候比较硬,5,未婚妻喜欢，我个人对车的外观没有要求没上牌照没上牌照家里车库是长的能放三台车，我只能在门口呆着，未婚妻和妈妈车在里面,5,内饰科技感很棒！但驾驶时候操作有点不是很方便，触控屏虽然反应很快，但不看着就不知道点到哪里去了指纹收集器只有中间是机械仪表，两边是液晶仪表未婚妻喜欢纯黑内饰，其他颜色无爱,5,在中国买混动版本的很合适，4S的发动机，还有一台电机，还能上绿牌，纯油的行政加长3.0T四驱行政加长版本和混动比相差不了多少，但动力配置相差的就多了，性价比非常高,5
空间很大，坐着还能翘二郎腿，后备箱空间超大，能放好多东西,4,动力强劲，提速秒变真男人。 。,5,车身太长掉头转弯有点麻烦。 。,4,比较省，市区耗电二十左右。油耗十三四个点吧。,5,空间大，驾驶操作性一般，车太长了。个人唯一不喜欢的是座椅包裹的不舒服，开久了腰酸,5,个人很喜欢帕美的外观。 。,5,还不错吧。 。,5,个人很喜欢。 。,5
乘坐空间太大了。后排翘着二郎腿都没问题。后备箱也很大 没想到溜背轿跑储藏空间还能那么大,5,毕竟是pdk变速箱。给油就推背感。s档排气声音就已经出来了。很激情,5,城市开。尤其是堵车跟车 费右脚。sc套件的20秒真男人还是很给力的。激情澎湃,4,这车喝#98。不过配合上电池。还是蛮不错的。如果有充电桩那基本不用加油了,5,轿跑开着不如轿车舒服。但有劲啊。有利有弊,4,外观满分。前提是钱得花到位。车漆啊 轮毂啊 包围啊 尾翼啊。能忍住不改的少之又少,5,内饰满分。我选装了alcantara内饰和alcantaraGT方向盘。搭配起来比碳纤维更激动,5,同品牌同车型我觉得比4性能高又好少。性能比4s略逊一点点。但不用交奢侈税。你受的了吗,5
行政版，空间自然不是盖的。前排调整好以后，后排翘二郎腿还有很大空间。,5,混合动力，起步电动，很稳健。素车0-100，4.2s。对于这么大的家伙来说可以了。又不下赛道。,4,车子太大，没选后桥，操控和开船一样。加速的话还是能感到车子有点重…毕竟2.4吨左右…高速非常稳…,3,综合油耗不算高也不算低。过了磨合期估计可以下4L/100km,4,这车舒适性就算了。前排座椅太硬，油门也中。开起来并不是很讨喜。,4,外观的话，有原厂SD，全套黑武士，气质绝佳！,5,内饰嘛，保时捷就那样。碳纤维内饰还是很精致的。黑色内饰比较低调,5,性价比不错！能文能武！这个价位只能说平行比较性价比还可以！,5
我190身高，我老婆176，我正常驾驶位，我老婆可以二郎腿。行政加长的后排非常满意…,5,还用说啥呢，混动的瞬时动力比s还强，最强性价比帕拉梅拉，不用解释。,5,有人说加长操控不好，我觉得挺好的。 150时速，高速路变道还是很稳。,5,市区的话每天0油耗，如果长途，油耗还是比较高的，买这车就别在乎这么多了,5,座椅我感觉还可以，行政款的舒适型已经很好了，当然运动模式下还是比较硬的，舒适模式下好评，能把这么暴躁的车调教成这样，给保时捷好评,5,满分，在我心中，最美大型车…没有之一。 回头率很高。,5,满分，科技感很强。有人喜欢上一代的飞机舱，我更喜欢现在触摸的高科技。,5,有人说买这个车该说什么性价比，除了税就是税 但是，在不可避免交税的情况下，混动性价比，打包4驱，最高性价比…,5
"前排调到合适位置后排空间很紧张 可以说有点压抑 后排头部总觉的有顶到头的感觉。买这车主要是自己开这点可以忽略不计 还有对轿跑空间要求也不能太高。储物空间：前排储物空间对于这车来说足可,后排两个杯架",4,动力是2.9L双涡轮V6发动机加上一台电动机组成，其中发动机最大马力330匹，峰值扭矩为450牛·米；电动机最大马力为136匹，峰值扭矩为400牛·米因为是插电混合动力相比之下动力稍逊色 因为一般不飙车所以不太介意。在高速上摁下狂野模式提速飕飕的把前车瞬时间秒杀。,5,加装了整体主动转向系统后转向传输很灵活,5,目前跑了三千公里混合动力下高速3个左右 全烧油12个左右 。不过买这车也不在乎什么油耗，主要还是响应国家节能减排，环保、,4,选择保时捷也就不在意什么舒适，要舒适就去买7系了座椅舒适性：选装运动座椅加座椅按摩，停车后可以躺下来听听音乐。说到音乐选装了柏林之声。,5,像所有的保时捷车型一样，它的标志性外观和头灯都是大相径庭。外观这东西各有所好，个人觉得尾灯贯通和圆润的造型设计很好看车灯设计：前灯青蛙眼不是很喜欢，最喜欢的就是车尾的贯通式尾灯做工车漆：车漆加钱选装的紫水晶金属漆，个性十足，仁者见仁吧,5,整个内饰给人第一眼的感觉科技感十足，唯一不足中控面板上总是留下一下指纹油垢，给了一块抹布一样的小手绢，意思是叫我上车擦擦 停车擦擦 下车前擦擦吗？不满不满！,5,不在乎价钱，因为不差钱，哈哈哈,5
作为轿跑，空间够用，混动没有加长，不过反正我是开车的，后排无所谓，但是被老爸吐槽死，可是和他的加长7系比本来就是不公平的哈哈。后备箱被电池占用了大量空间，导致垂直空间太小。,4,动力得益于混动，运动模式下瞬间起步扭矩来的很快，几乎是瞬间迸发。但是后段电机辅助不足，就普通3.0T的动力，变速箱反应积极，虽然不是保时捷魁宝PDK，但是反应足够快，8AT兼顾高速油耗。3.0T机械增压发动机动力输出非常线性，没有涡轮增压的突兀。油电切换除非驾驶员看转速表，乘员一般难以察觉。,5,保时捷操控一流，尤其在运动模式，悬挂运动模式下十分紧凑，方向盘指向精准，20寸turbo design配合米其林PSS轮胎，抓地力没话说。最近向右跑偏么，准备去做个四轮定位了。 由于后备箱下面电池的额外重量，高速上高速过弯对后轮总是信心不足。,5,因为是混合动力，对于这样的动力表现，应该是满意的，但是对于混动，谈不上惊喜。纯电模式下能26KM很不错了，不可能达到官方标称的36KM。混合模式，市区油耗10-11L，高速巡航8L，时速150km/h 油耗10-11L，激烈驾驶13-14L。综合油耗9.5（充电比较勤）。不过买保时捷了，谁会在乎油耗，买混动车型我只是在乎环保，哈哈，装逼一下。,4,舒适性比传统跑车肯定要好，但是比起家里的的7系，还是差太多，但是我认为这是车辆的性格取向问题，谈不上好坏。中短途激烈驾驶很惬意，但是上千KM长途长途奔袭更喜欢开7系，更加轻松。,4,外形经典，作为保时捷的第一款轿跑车型，完美的融合了跑车的流线与轿车的实用。20寸turbo design配合柠檬绿的刹车卡钳，美醉了。,5,内饰是PANAMERA我最喜欢的地方，是我直接无视玛莎拉蒂的绝对理由，每次坐进去感觉自己就是飞行员，哈哈，又吹了。,5,性价比从来不是这个级别的车该讨论的事。,4
空间上面最不满意的一点提了一些，就是后排的话还是有点挤，不过对大多数人来说可能已经很好了，后备箱也很大，装两个24寸的旅行箱还有空余，在这点上我觉得还是很满意的，前排空间也很好，没有人反应过有任何问题。,3,动力不用说，真的很棒，有跑车的感觉，特别是起步提速和高速上，总感觉有源源不断的动力，取之不竭！我后来才发现一个问题，就是每一次我油门踩到底的时候（又称地板油），我都是屏住呼吸的，可能我天生就是一个车手吧，将笑了。,5,操控的话也很满意，只是觉得雷达太多太过于灵敏，特别堵车的时候，周围有车有行人，会一直在哪里滴滴滴，烦死人了的，关了又会觉得不安全！但是也要分情况分场合啊！弄得车内很是吵！,4,油耗因为混合动力，所以不是很高，要是纯油版的话我想至少应该上20了，我踩油门还是比较猛的，这样才有驾驶乐趣嘛！,3,这车舒适性很好，特别隔音效果很不错，坐着感觉很棒，空调音响什么的都很舒适，给人感觉很好，不会觉得那么累。,3,外观绝对五分，拉轰拉轰啊！保时捷的设计都是很圆润，让人很能接受，再就是车漆以及做工都很好，个人觉得比一些兰博基尼或者用久了的法拉利要好很多，所以给人感觉就很好，不过大家也要注意保养，经常带你们的爱车去洗澡，才能保持光鲜外表。,5,内饰绝对是保时捷的杀手锏，做过也开过很多比保时捷更高档的车，觉得保时捷内饰无论做工还是材质都是很不错的，驾驶中控那块真的给你感觉就是在开飞机，加上起步时那样过瘾的推背感，真的让你觉得自己是一个飞行员，哈哈哈。,5,性价比还行吧，因为在国内的原因，跟国外真的没法比，但是在国内跟其他车比还是很不错的，当时看的还有玛莎拉蒂，但是试驾了几次之后玛莎还是完败啊，性价比来说真的帕拉梅拉还是很不错，绝对有所值。,3
后排空间真是无力吐槽，这车外形真的不短，但是一点没给内部空间，后排拥挤实在不舒服，后备箱因为电池占用的原因也是小的可怜，极其不实用。,1,3.0T机械增压6缸加速还是线性沉稳，配合电机全力输出sport模式下后备动力源源不绝，至少要比宝马5系GT的3.0T涡轮增压中后段动力饱满厚重，纯电模式除了深踩起步能猛推下外，后面基本就是电瓶车的慢线形感受了。,4,方向盘真的很轻很轻，手感倒还不错，运动模式下会稳重些，对整个车熟悉驾驭后，操控确实能达到人车合一的地步，指向精准，路感清晰，作为轿跑又尽最大努力的兼顾运动和舒适，快慢开都能随心所欲。,2,油电混合下市区综合能有11个油吧,2,作为轿跑又尽最大努力的兼顾运动和舒适，乘坐感还是比较优秀的，座椅可调度大，通风加热都有，只是后排拥挤的乘坐感受不会很幸福,3,金属银的外观配合纯电模式行进时，来自未来的质感还是相当有格调。,4,保时捷的内饰我觉得应该算行业良心了。,5,买这车性价比就得呵呵哒！,2
空间感还是很满意的，除了只能坐4个人意外~~,4,源源不断，180的时候深踩都还是感觉动力充足，油电混动的时候一般起步都是用电，但是并不感觉加速慢，我这个人比较喜欢开快车，所以这个车完全满足我的要求~！,5,城市飙车完全满足~~等我去了赛道才知道真正的超控~~但是就是车有点长和宽了··,5,在完全可以接受的范围~~在全用油的情况下是12个左右~~在油电混合的情况下我就没有算过了···不过一箱油可以跑900左右的路程，一箱油大概是400+左右~~！,3,很不错~~！,5,拉风！帅气！特别是绿色的卡钳··我连改卡钳的心都没有了··这个颜色我感觉很完美··,5,内饰做工还是很漂亮的~~就是有些地方用的亮条容易起刮痕~~！,5,买这个车我觉的没有什么性价比吧···主要是看个人年龄吧··这个价位的其它车我都感觉太老气了··,4
乘坐尚可。后备箱垂直空间太低。bose音响还占了部分空间导致后备箱空间太小,4,可以。直观感受没那么强 不能弹射,4,不错。尾部重是个缺点,4,一天充一次。我路况比较好。混动模式下正常行驶的话每天60公里电用光油耗都是7个左右。比正常版本省差不多50%,5,隔音不错。尤其是电动模式下,4,还好吧 侧面看尾部过度不好看。宁可牺牲后排头部空间尾部线条过渡再早一些就好了。比如新款那样就很漂亮,4,没有真皮现车没办法。一定要选真皮,4,越便宜的车性价比越高,5
驾驶员侧储物空间比较少，后排想对丰富。,4,油电混合模式下加速快且声音小。,5,运动模式下操控精准，舒适模式下相对柔和,5,由于工作地方往返不超过30公里，所以上下班基本靠纯电模式行驶。,5,座椅包裹性一半，由于后排空间座椅可调节，乘坐还算舒适,4,外观识别度较高,4,内饰做工细致，唯一不足是钢琴漆非常容易出划痕。,4,混合动力确实有可取之处，不过续航里程过短。价格略高。,5
照顾前排为主，后排能做人，但是久了就不知道了，我就知道开快了，后排会晕。,4,很足。妥妥的。,5,妥妥的。,5,用电0L ，用油15L百公里左右，油电混合大概12-13L百公里，不高不低的数字,3,很好。,5,14款的很好看，加上油电特有的那些标,5,很好看，到处都是软包的真皮。也有很多的塑料。,5,不知道。,4
"大，这还要说么？ 近5.3米的车~~~空间不用说内饰~乘坐空间：我身高177cm,三个这样的我坐的都无压力，后排真的宽大~~就是中间这块不是很舒服家人乘坐评价：爸妈觉得开这车很zhuang，问我养不养得起，但是每次出去时候都会问我要不要开740，我如果不开，他们就开出去溜达溜达哈哈哈",5,动力。。。我对这个没有要求，但是加速要踩油门比较深，比我之前的奥迪a4l相比，奥迪加油不用踩这么深，不过我的a4l是高配，我一般用经济模式，开车很小心，毕竟我怕撞了，别人赔不起。,5,% buffered00:00/00:07倍速高清后期自己加装3w多的ACC PLUS很有科技感，自己修正，自动跟车，直线保持辅助等等。大家都说 坐奔驰，开宝马，那我就不解释了，我也不是玩车的，没有对比过很多车，不过这个车很重。。。加速起来很有力量。,5,开了三四千公里，平均显示5.9L/100km。。。我平时会充电，一周两次左右,5,杠杠滴~ 后排睡不了，因为中间一块凸起，建议买个气垫床后排的pad,5,车真的大，车头很长。，虽然很好看，但是从4.8m的a4l突然变成5.25米，实在有点难适应，剐蹭了两次现在。。。不好停车天使之翼堵住了前门。,5,% buffered00:00/00:15倍速高清豪华，做工用料很足，很炸的音响。 科技感体验很强，体现在HUD抬头显示，360全景的上帝视觉，ACC这些功能。宝华韦健,5,"% buffered00:00/00:10倍速高清性价比一般，钱不多的建议还是换730或者740汽油版。。。我现在也算捉襟见肘了，月收入4w多都感觉有点撑不住~钥匙很拉风抬头显示~4S店售后服务：维修服务一般般。 售前服务倒是不错，当时原本先去看奥迪a8l，但是奥迪的销售员看我这么小，不信我要买车，所以连试驾都机会都不给我，但是我去的宝马车行，人家还特意调车出来让我试开。。。然后我就下单了哈哈哈买车心得：1.就是如果你是想选性价比的车子呢，真的不用选BBA,BBA就是各种加装，而且加装的费用都不便宜。比如日系三强的B级车，中高配基本上都会带全速自适应巡航系统，BBA就是五六十万以上的车一般都不会标配，要你加钱，加钱，加钱 2.如果要买BBA，建议有部分的功能你出厂就选装，比如HUD抬头显示，ACC PLUS,宝华音响，后期加配的话，反而费用更贵，比如增强型的驾驶辅助出厂选装2.2w,后期加装3w以上，宝华4w多以上，而且还拆的你怀疑人生。 3.如果自己实力不够，还需要父母帮忙出钱买的，不建议买这个级别的车第一年纪轻轻，看起来只会像司机，我就被当成好几次.第二你可能养的很辛苦，单单保险2.3w。我自己还行，还车贷也就1.5w一个月而已，还三年。 4.本人已认证顺风车车主，如果深圳的朋友坐顺风车看到宝马740的，那估计是我了哈哈哈，深圳的朋友们可以一起聊车。 5.告诉你们的朋友，这车有电吸门，关门不用那么大力，真的心疼~",3
